"16Personalities Quiz.  You will need to first take the quiz located at https://www.16personalities.com/. This quiz will take about 10 miinutes. Select your personality letters below. E.g. ENTJ-A, INTP-A, etc.",Major_1,Major_2,Minor_1,Minor_2,PDP_Status,Grad_Year,Class_Standing,GPA,Semester_Units,Transfer,International_Student,Post_Grad_Plan,Industry,Planned_Role,Num_Football_Games,Social_Greek_Life_Status,Prof_Greek_Life_Status,Prof_Org_Status,Cultural_Org_Status,Religious_Org_Status,Sports_Org_Status,USC_Social_Exp,Merit_Scholarship_Percent,Paid_Job_Status,Time_Spent_Working,Time_Spent_Friends,Time_Spent_Family,Study_Alone,Time_Spent_Classwork,Overall_USC_Exp,Sex,Age,Home_Country,Zip_Code_US,Is_California_Home,Languages_Spoken,News_Source,Loves_to_Travel,Foodie,Purchase_Based_On_Sustainability,Reusable_Water_Bottle,Meals_Delivery_Service_Percent,Ride_Share_Percent
ISFJ-T,Applied and Computational Mathematics,,Computer Science,Applied Analytics,No,2023,Senior,3.94,17,No,No,Still Deciding,Government,"Information Services, Statistics, Records, and Archives",5-8,No,No,No,No,No,No,3,0%,Yes,20-30%,20-30%,≤ 10%,Yes,>50%,4,Prefer not to say,22,US,75007,No,1,"Twitter,Youtube",Yes,No,No,No,0%,25%
ESFJ-A,Business Administration,,Applied Analytics,,No,2023,Senior,3.84,12,No,No,Work,Finance: IB/Bokerage,Client/Customer Services,5-8,No,No,Yes,No,No,No,4,50%,Yes,≤ 10%,30-40%,≤ 10%,Yes,10-20%,5,Female,21,US,46814,No,2,"Twitter,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,50%
ENFP-T,Business admin,,Applied Analytics ,,No,2022,Senior,3.7,12,"Yes, from a 2 year college.",No,Work,Consulting,Business/Corporate Services,1-4,Yes,No,Yes,No,No,No,5,75%,Yes,30-40%,10-20%,20-30%,Depends,20-30%,5,Male,24,US,91107,Yes,2,"Youtube,Google News,News Sites. (e.g. Wall Street Journal,Physical Newspaper",Yes,Yes,Yes,Yes,75%,50%
ENFJ-A,Public Policy,,Enterprise Information Systems,,No,2023,Senior,3.7,20,"Yes, from a 2 year college.",No,Work,Consulting,Information and Communications Technology,0,No,No,No,No,No,No,4,0%,Yes,30-40%,30-40%,≤ 10%,Depends,30-40%,3,Female,21,US,94027,Yes,1,"Instagram,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,50%,25%
INFP-A,Business,,Applied Analytics,,No,2023,Senior,3.9,16,No,No,Work,Consulting,Client/Customer Services,1-4,Yes,No,No,No,Yes,Yes,4,0%,No,≤ 10%,> 50%,≤ 10%,Depends,20-30%,4,Male,21,US,94022,Yes,1,"Twitter,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,25%
ESFP-T,Business Administration ,Master Science in Finance ,Applied Analytics ,,Yes,2024,Senior,3.8,16,"Yes, from a 4 year college.",No,Work,Finance: IB/Bokerage,Business/Corporate Services,0,No,No,No,Yes,No,Yes,3,0%,Yes,20-30%,20-30%,≤ 10%,Depends,10-20%,4,Male,25,CN,N/A,No,2,"Instagram,Facebook",Yes,Yes,Yes,Yes,50%,25%
ENTJ-T,business administration,,Applied Analytics,,No,2023,Senior,3.87,12,No,Yes,Work,Consulting,Business/Corporate Services,0,No,No,Yes,Yes,No,No,4,0%,No,≤ 10%,> 50%,10-20%,Yes,20-30%,4,Male,21,ZW,N/A,No,2,"Instagram,Twitter,TV,Youtube,Google News,News Sites. (e.g. Wall Street Journal,Other",Yes,Yes,Yes,Yes,50%,50%
ENTJ-A,Business Adminstration,,Applied Analytics,,No,2024,Junior,3.83,18,No,No,Work,Consulting,Administration/Office Work,1-4,No,No,No,No,No,Yes,2,100%,Yes,20-30%,10-20%,10-20%,Yes,10-20%,2,Male,20,VN,N/A,Yes,2,"Instagram,Snapchat",Yes,Yes,No,Yes,50%,25%
ISFJ-A,Chemical Engineering,,Applied Analytics,,No,2024,Junior,3.8,18,No,No,Work,Energy,Engineering,0,No,No,No,No,Yes,No,4,50%,No,≤ 10%,20-30%,10-20%,Depends,>50%,4,Female,20,US,77433,No,2,"Instagram,Youtube,Google News",Yes,Yes,No,Yes,25%,100%
INFJ-T,Chemistry,,Risk Management,Foundations of Data Science,No,2023,Senior,3.82,16,No,Yes,Graduate School,Chemicals/Plastics/Rubber,Risk Management,1-4,No,No,Yes,Yes,No,No,4,0%,No,≤ 10%,30-40%,≤ 10%,Yes,≤ 10%,4,Male,21,CN,N/A,No,2,"Instagram,Twitter,TV,Youtube,Google News,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,75%
INTJ-T,Industrial and Systems Engineering,,None,,Yes,2023,Senior,3.72,16,No,No,Graduate School,Pharmaceuticals/Biotech/Medical Devices,Operations Management,1-4,No,No,No,No,No,No,3,100%,Yes,10-20%,20-30%,≤ 10%,Depends,30-40%,3,Female,21,US,90020,Yes,2,"Instagram,Twitter,Tiktok,Youtube",Yes,Yes,Yes,Yes,25%,75%
INTP-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.64,18,No,No,Work,Finance: Asset Management,Finance Management,5-8,Yes,No,Yes,No,No,No,3,0%,Yes,20-30%,≤ 10%,≤ 10%,Yes,30-40%,3,Male,22,US,05486,No,2,"Youtube,Google News,News Sites. (e.g. Wall Street Journal,Other",Yes,No,No,No,75%,0%
ENFP-T,Computational Neuroscience,,Applied Analytics,,No,2022,Senior,3,8,No,No,Work,Media/Communications,Business/Corporate Services,1-4,No,No,Yes,Yes,No,Yes,4,0%,Yes,10-20%,20-30%,10-20%,Depends,10-20%,4,Male,22,US,94568,Yes,4,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,25%
ISFJ-A,Chemical Engineering,,Applied Analytics,,Yes,2023,Senior,3.83,16,No,Yes,Graduate School,Chemicals/Plastics/Rubber,Engineering,1-4,No,No,No,No,No,No,4,0%,No,≤ 10%,20-30%,10-20%,Yes,30-40%,4,Male,22,CN,N/A,No,2,"Instagram,Twitter,Youtube",Yes,No,No,Yes,25%,75%
ENFJ-A,Business Administration,,Applied Analytics ,,Planning on joining.,2024,Junior,3.71,18,No,No,Work,Finance:VC/Private Equities,Finance Management,5-8,No,Yes,Yes,No,No,No,4,75%,Yes,≤ 10%,> 50%,10-20%,Depends,10-20%,4,Female,20,US,92646,Yes,2,"Instagram,Snapchat,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,50%
INFP-A,Data Science,"Philosophy, Politics, Law",None,,No,2023,Senior,3.2,20,"Yes, from a 2 year college.",No,Work,Technology: Software/Internet,Infrastructure Management,1-4,No,No,No,Yes,No,No,4,100%,Yes,20-30%,30-40%,10-20%,Yes,20-30%,4,Male,23,US,42134,Yes,1,News Sites. (e.g. Wall Street Journal,Yes,Yes,No,Yes,0%,25%
INFP-A,Economics/Mathematics B.Sw,,Foundations of Data Science Minor,,No,2023,Senior,3.35,18,"Yes, from a 4 year college.",No,Work,Technology: Other,"Information Services, Statistics, Records, and Archives",1-4,No,No,No,No,No,Yes,3,0%,Yes,10-20%,10-20%,10-20%,Yes,20-30%,3,Male,21,US,94506,Yes,3,"Twitter,Google News,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,25%,0%
INTJ-A,Computer Science,,Applied Mathematics,,No,2022,Senior,3.9,14,No,Yes,Work,Technology: Software/Internet,Engineering,1-4,No,No,Yes,Yes,No,Yes,4,25%,Yes,30-40%,30-40%,≤ 10%,Yes,≤ 10%,4,Male,21,VN,N/A,Yes,3,"Instagram,Twitter,Tiktok,Google News,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,25%
ESTP-T,Business Administration,,Applied Analytics,,No,2022,Senior,3.89,16,"Yes, from a 4 year college.",No,Work,Finance: Diversiified Financial Services,Finance Management,1-4,No,No,Yes,Yes,No,No,3,0%,Yes,30-40%,10-20%,≤ 10%,Depends,>50%,4,Female,22,US,22180,No,2,"Instagram,Youtube",Yes,Yes,No,Yes,25%,75%
ENFJ-T,Industrial and Systems Engineering,,None,,No,2023,Senior,2.75,17,No,No,Still Deciding,Consulting,Other,8+,No,No,No,Yes,No,No,4,100%,Yes,10-20%,20-30%,20-30%,Depends,10-20%,3,Male,22,US,90007,Yes,2.5,"Instagram,Twitter,Tiktok,Other",Yes,Yes,No,Yes,25%,25%
ESTJ-T,Finance - Business Administration,,Applied Analytics,,Planning on joining.,2023,Senior,3.61,18,"Yes, from a 4 year college.",Yes,Graduate School,Finance: IB/Bokerage,Finance Management,5-8,No,Yes,Yes,Yes,No,No,4,0%,Yes,20-30%,10-20%,≤ 10%,Depends,>50%,4,Female,22,CN,N/A,No,2,"Instagram,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,50%,100%
ESFP-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.94,12,No,No,Still Deciding,Real Estate,Business/Corporate Services,1-4,No,No,No,No,No,No,2,0%,No,≤ 10%,20-30%,10-20%,Yes,30-40%,2,Female,22,US,91106,Yes,1,"Instagram,Tiktok,News Sites. (e.g. Wall Street Journal,Other",Yes,Yes,Yes,Yes,25%,25%
ENFP-A,Business Administration ,,Applied Analytics ,,No,2023,Senior,3.92,16,No,No,Work,Consulting,Business/Corporate Services,1-4,Yes,No,Yes,No,No,No,3,0%,Yes,10-20%,20-30%,≤ 10%,Depends,>50%,4,Male,21,US,98006,No,1,"Instagram,Twitter,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,0%
ENTJ-A,Econ/Math,NA,Applied Analytics,NA,No,2022,Senior,3.78,12,No,No,Work,Finance: Asset Management,Property and Asset Management,0,No,No,No,No,No,Yes,4,0%,No,≤ 10%,20-30%,10-20%,Yes,≤ 10%,4,Male,22,US,94549,Yes,2,"Twitter,News Sites. (e.g. Wall Street Journal",Yes,No,Yes,Yes,0%,0%
ESFJ-A,Business Administration,,Foundations of Data Science,,No,2024,Junior,3.84,16,No,No,Work,Technology: Software/Internet,Engineering,1-4,No,No,Yes,Yes,No,No,4,0%,No,≤ 10%,30-40%,10-20%,Depends,20-30%,4,Female,20,US,94086,Yes,1,"Instagram,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,50%
ENFP-T,Business Administration ,,Applied Analytics,,No,2022,Senior,3.3,12,"Yes, from a 2 year college.",No,Work,Health Care,Business/Corporate Services,0,No,No,Yes,Yes,No,No,4,0%,Yes,30-40%,10-20%,≤ 10%,Depends,20-30%,4,Female,24,US,95014,Yes,4,"Facebook,Tiktok,Youtube",Yes,Yes,Yes,Yes,25%,0%
ENTJ-T,Data Science,Economics,None,None,Planning on joining.,2024,Junior,3.8,16,No,Yes,Work,Technology: Software/Internet,Business/Corporate Services,1-4,Yes,No,No,Yes,No,No,4,0%,Yes,10-20%,30-40%,≤ 10%,Yes,>50%,4,Female,21,TW,N/A,Yes,2,"Instagram,Youtube,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,0%,75%
ESFJ-T,Human Biology,None,Applied Analytics,Health Care Studies,No,2023,Senior,3.81,16,No,No,Gap Year(s),Health Care,Other,0,No,No,Yes,No,No,Yes,4,50%,Yes,≤ 10%,20-30%,≤ 10%,Depends,20-30%,4,Male,21,US,95120,Yes,2,"Youtube,Google News,News Sites. (e.g. Wall Street Journal",No,Yes,Yes,Yes,25%,75%
ENTJ-A,Business Administration,International Relations,Applied Analytics,,Planning on joining.,2023,Senior,3.86,20,No,Yes,Work,Consulting,Client/Customer Services,0,No,Yes,Yes,Yes,No,No,4,25%,No,≤ 10%,> 50%,≤ 10%,Yes,20-30%,5,Male,22,CN,N/A,Yes,2,"Instagram,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,No,25%,25%
INFP-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.56,16,"Yes, from a 4 year college.",No,Work,Other,Marketing,1-4,No,No,Yes,Yes,Yes,No,4,0%,Yes,10-20%,20-30%,20-30%,Yes,20-30%,4,Female,21,US,N/A,Yes,2,"Instagram,Twitter,Tiktok,TV,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,25%
ESFJ-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.94,16,No,No,Work,Finance:VC/Private Equities,Business/Corporate Services,1-4,Yes,No,No,No,Yes,No,5,0%,Yes,≤ 10%,> 50%,10-20%,Yes,30-40%,4,Male,22,US,85253,No,2,"Instagram,Snapchat,Twitter,Tiktok,TV,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,50%,25%
ENFJ-A,Business Administration,,Applied Analytics,Economics,No,2024,Junior,3.6,16,No,No,Work,Finance: Asset Management,Finance Management,1-4,No,No,No,No,No,No,5,50%,Yes,20-30%,> 50%,≤ 10%,Yes,30-40%,5,Male,20,US,92129,Yes,2,"Instagram,Snapchat,Facebook,Twitter,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,50%
ENFP-A,International Relations and Global Business,,Applied Analytics,,No,2023,Senior,3.51,18,No,No,Still Deciding,Advertising,Marketing,1-4,No,No,Yes,Yes,Yes,No,4,50%,Yes,≤ 10%,10-20%,≤ 10%,Yes,20-30%,4,Male,21,US,95136,Yes,2,"Instagram,Twitter,Tiktok,Google News,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,No,0%,50%
ISFP-T,Data Science,Mathematics,None,None,Planning on joining.,2024,Junior,3.77,14,No,Yes,Still Deciding,Technology: Software/Internet,Other,0,No,No,Yes,No,No,No,2,0%,Yes,≤ 10%,20-30%,≤ 10%,Depends,10-20%,4,Male,21,CN,N/A,No,2,"Twitter,Tiktok,Google News",Yes,Yes,Yes,No,75%,75%
INTJ-T,Economics,Data Science,None,,No,2023,Senior,3.46,16,No,No,Work,Media/Communications,"Information Services, Statistics, Records, and Archives",0,No,No,No,No,No,No,2,0%,Yes,10-20%,20-30%,> 50%,Yes,30-40%,3,Female,21,US,90301,Yes,2,Twitter,Yes,No,No,Yes,25%,0%
ISFJ-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.91,20,No,Yes,Graduate School,Hospitality: Food and Beverage/Hotel Management,Business/Corporate Services,1-4,No,No,No,Yes,No,Yes,4,0%,No,≤ 10%,> 50%,≤ 10%,Yes,≤ 10%,4,Male,21,HK,N/A,No,3,"Instagram,Youtube,Google News,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,50%
ESFP-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.72,14,No,No,Work,Finance: IB/Bokerage,Client/Customer Services,1-4,Yes,No,Yes,No,No,No,5,50%,Yes,> 50%,30-40%,≤ 10%,Depends,30-40%,5,Female,21,US,63131,No,2,"Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,25%
ENFJ-A,Economics,,Marketing,Applied Analytics,Planning on joining.,2023,Senior,3.92,16,"Yes, from a 4 year college.",Yes,Graduate School,Household/Personal Products,Marketing,0,No,No,No,No,No,Yes,4,0%,No,≤ 10%,30-40%,≤ 10%,Depends,10-20%,4,Female,22,CN,N/A,Yes,2,"Instagram,Other",Yes,Yes,No,No,25%,25%
INTJ-A,Business Administration,,Applied Analytics,,No,2023,Senior,3.8,16,No,No,Work,Consulting,Business/Corporate Services,5-8,No,No,Yes,No,No,Yes,4,0%,Yes,20-30%,20-30%,10-20%,Yes,20-30%,5,Male,22,US,91711,Yes,2,News Sites. (e.g. Wall Street Journal,Yes,No,Yes,Yes,0%,75%
ESFJ-T,Economics,,Applied Analytics,,Planning on joining.,2024,Junior,3.74,16,No,No,Graduate School,Finance: IB/Bokerage,Finance Management,0,No,No,Yes,Yes,No,No,1,0%,Yes,20-30%,≤ 10%,20-30%,Yes,>50%,3,Female,21,US,91006,Yes,2,"Instagram,Tiktok,Youtube",No,Yes,No,Yes,25%,0%
INTP-T,Quantitative Biology,N/a,Applied Analytics,N/a,No,2022,Senior,3.5,18,"Yes, from a 4 year college.",No,Work,Life Sciences,Science and Technical R&D,0,No,No,No,Yes,Yes,No,4,100%,Yes,10-20%,20-30%,≤ 10%,Depends,10-20%,4,Female,23,US,30519,No,2,"Facebook,Youtube",Yes,Yes,No,No,50%,0%
ESFJ-T,Cognitive Science,,Applied Analytics,,No,2023,Senior,3.7,20,"Yes, from a 4 year college.",Yes,Work,Technology: Software/Internet,Other,5-8,No,No,Yes,No,No,No,4,0%,Yes,> 50%,30-40%,≤ 10%,Depends,20-30%,3,Male,21,TH,N/A,Yes,2,"Instagram,Facebook,Youtube,Other",Yes,Yes,Yes,Yes,0%,0%
ESTJ-A,Business Administration,Accounting,Applied Analytics,,No,2023,Senior,3.84,16,No,No,Work,Consulting,Business/Corporate Services,1-4,No,No,Yes,No,No,No,2,0%,No,≤ 10%,20-30%,≤ 10%,Yes,20-30%,3,Male,21,US,92603,Yes,2,"Instagram,Twitter,TV,Youtube,News Sites. (e.g. Wall Street Journal",No,Yes,No,No,50%,25%
ESFJ-A,International Relations Global Business,,Appled Analytics,,No,2023,Senior,3.7,17,No,Yes,Work,Finance: FinTech,Business/Corporate Services,8+,Yes,Yes,No,Yes,No,Yes,5,50%,Yes,20-30%,30-40%,≤ 10%,Depends,20-30%,5,Male,21,CZ,N/A,Yes,3,"Instagram,Facebook,Twitter,Google News,News Sites. (e.g. Wall Street Journal",Yes,No,Yes,Yes,25%,25%
ESFP-T,Data Science,Economics,None,,Planning on joining.,2023,Senior,3.47,16,No,Yes,Still Deciding,Technology: Other,"Information Services, Statistics, Records, and Archives",1-4,No,No,Yes,Yes,No,No,5,0%,No,30-40%,10-20%,≤ 10%,Depends,30-40%,5,Male,24,KR,N/A,No,2,"Instagram,Youtube,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,50%,50%
ENTJ-T,"Philosophy, Politics, and Economics",,Applied Analytics,,Planning on joining.,2023,Senior,3.85,16,No,No,Still Deciding,Non-profit,"Planning, Policy, and Strategy",1-4,No,No,No,No,No,Yes,4,0%,Yes,20-30%,20-30%,≤ 10%,Depends,20-30%,4,Male,22,US,30030,Yes,1,Other,Yes,Yes,Yes,Yes,0%,25%
INFJ-A,business administration,,applied analytics,,No,2023,Senior,3.31,16,No,No,Work,Finance: FinTech,Business/Corporate Services,0,No,No,No,Yes,No,Yes,3,25%,Yes,10-20%,20-30%,≤ 10%,Yes,20-30%,3,Male,21,us,94022,Yes,1,"Twitter,Tiktok,Youtube",Yes,Yes,Yes,Yes,25%,0%
ENTP-A,Business Administration,,Applied Analytics,,No,2023,Senior,3.62,18,No,Yes,Work,Consulting,Business/Corporate Services,1-4,No,No,Yes,No,No,Yes,4,0%,No,≤ 10%,20-30%,≤ 10%,Yes,20-30%,4,Male,24,SG,N/A,No,2,"Instagram,Facebook,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,25%
INFJ-A,Business Administration,none,Applied Analytics,none,No,2022,Senior,3.41,16,"Yes, from a 2 year college.",No,Work,Other,Business/Corporate Services,0,No,No,Yes,No,Yes,No,3,0%,Yes,20-30%,20-30%,10-20%,Yes,30-40%,4,Male,23,KR,N/A,Yes,2,"Tiktok,Youtube",No,Yes,Yes,No,50%,0%
ENFJ-T,Business Administration (Business Analytics),Psychology,Applied Analytics,,No,2023,Senior,3.84,16,No,Yes,Work,Consulting,Information and Communications Technology,0,No,Yes,Yes,No,No,No,4,0%,Yes,20-30%,10-20%,≤ 10%,Depends,>50%,4,Female,22,CN,N/A,No,2,"Instagram,Youtube,Google News",Yes,Yes,No,Yes,25%,75%
ISTJ-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.63,18,No,No,Work,Consulting,"Planning, Policy, and Strategy",5-8,No,No,No,No,No,No,2,0%,No,≤ 10%,20-30%,20-30%,Yes,20-30%,4,Male,21,US,90024,Yes,1,"Instagram,Twitter,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,25%
ESTP-A,Human Biology,,Business,,Planning on joining.,2023,Senior,3.59,16,No,No,Graduate School,Health Care,"Information Services, Statistics, Records, and Archives",0,No,No,No,Yes,No,No,4,0%,Yes,≤ 10%,> 50%,≤ 10%,Yes,20-30%,4,Male,21,US,91030,Yes,1,"Twitter,Tiktok",No,Yes,No,Yes,0%,0%
INTJ-A,Business Administration,Accounting,Applied Analytics,,No,2023,Senior,3.7,18,No,Yes,Work,Finance: Accounting,Finance Management,0,No,No,No,No,No,No,1,0%,Yes,≤ 10%,≤ 10%,> 50%,Yes,>50%,4,Male,23,KR,N/A,No,3,"Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,100%
ESTP-T,Econ/Math,,Applied Analytics,Business Finance,Yes,2024,Senior,3.9,17,No,Yes,Work,Automotive/Transportation Equipment,Administration/Office Work,0,No,No,No,No,No,Yes,4,0%,Yes,10-20%,> 50%,≤ 10%,Depends,20-30%,4,Male,21,CN,N/A,Yes,2,"Instagram,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",No,Yes,Yes,Yes,50%,25%
INFJ-T,Business Administration,,Applied Analytics,,No,2023,Junior,3.82,16,No,Yes,Graduate School,Technology: Software/Internet,"Information Services, Statistics, Records, and Archives",1-4,No,No,Yes,No,No,No,4,0%,No,≤ 10%,> 50%,≤ 10%,Yes,10-20%,4,Male,20,CN,N/A,No,2,"Instagram,Youtube,Other",Yes,Yes,Yes,Yes,25%,25%
ENTP-T,Businness Administration ,,Enterprise Information Systems ,Communication Technology Practices and Platforms ,No,2024,Junior,3.61,19,No,Yes,Work,Consulting,Business/Corporate Services,1-4,No,Yes,Yes,No,No,No,4,0%,No,≤ 10%,20-30%,≤ 10%,Yes,30-40%,4,Female,20,UG,N/A,No,2,"Instagram,Tiktok,TV,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,75%
ENFP-T,Human Biology,,Applied Analytics,,No,2023,Senior,3.95,18,No,No,Gap Year(s),Health Care,Service Delivery,0,No,Yes,No,No,No,No,3,0%,Yes,20-30%,> 50%,≤ 10%,Depends,>50%,3,Male,22,KR,N/A,Yes,2,"Instagram,Youtube,News Sites. (e.g. Wall Street Journal",Yes,No,No,No,0%,0%
ENFJ-A,International Relations (Global Business),,Applied Analytics,,Planning on joining.,2024,Junior,3.35,18,No,No,Work,Consulting,Operations Management,5-8,Yes,No,Yes,No,Yes,No,4,0%,Yes,10-20%,10-20%,≤ 10%,Yes,>50%,4,Male,20,US,10512,Yes,1,"Instagram,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,0%
ENTP-T,Business Administration,,Applied Analytics,,No,2023,Senior,3.56,18,No,No,Work,Consulting,Business/Corporate Services,1-4,No,No,No,No,No,No,3,0%,Yes,10-20%,> 50%,≤ 10%,Depends,20-30%,4,Male,21,US,89511,No,1,"Instagram,Twitter,Youtube",Yes,Yes,No,No,25%,25%
